dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name,population
24800069,72.3,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800069,415
24800070,69.3,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800070,1370
24800071,78.3,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800071,415
24800072,80.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800072,565
24800073,84.7,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800073,360
24800074,60.3,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800074,340
24800075,62.9,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800075,930
24800076,56.8,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800076,730
24800084,77.6,20.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,StatCan area #24800084,915
24800085,67.4,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800085,460
24800086,75.6,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24800086,655
24810001,80.7,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810001,570
24810002,60.3,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810002,365
24810003,58.2,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810003,395
24810004,75.7,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810004,370
24810005,77.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810005,510
24810006,57.7,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810006,390
24810007,78.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810007,500
24810008,73.4,26.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810008,1845
24810009,72.4,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810009,580
24810010,74.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810010,490
24810011,82.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810011,400
24810012,62.5,32.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,StatCan area #24810012,400
24810013,71.5,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810013,755
24810014,63.7,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810014,510
24810015,62.7,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810015,590
24810016,46.3,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810016,410
24810017,78.4,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810017,880
24810018,80.2,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810018,580
24810019,75.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810019,470
24810020,57.8,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810020,450
24810021,71.6,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810021,335
24810022,62.8,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810022,725
24810023,55.2,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810023,525
24810024,62.5,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24810024,1120
