dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name,population
35180018,7.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,0.7,StatCan area #35180018,1515
35180019,6.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9,0.0,StatCan area #35180019,745
35180021,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8,0.0,StatCan area #35180021,460
35180022,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2,5.3,StatCan area #35180022,475
35180024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,6.1,StatCan area #35180024,490
35180025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,4.2,StatCan area #35180025,480
35180026,4.6,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,3.1,StatCan area #35180026,1305
35180027,5.4,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,95.5,0.0,StatCan area #35180027,555
35180028,2.9,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.4,95.7,1.1,StatCan area #35180028,1385
35180035,6.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,1.8,StatCan area #35180035,1405
35180038,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,1.1,StatCan area #35180038,1335
35180356,68.9,20.5,1.4,17.4,3.2,2.3,2.7,0.0,7.3,0.0,0.0,30.6,0.0,StatCan area #35180356,1095
35180357,51.2,12.6,0.0,13.4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0.0,StatCan area #35180357,635
35180358,63.4,12.7,0.0,25.8,7.5,4.2,0.0,0.0,7.5,0.0,0.0,36.6,0.0,StatCan area #35180358,1065
35180359,42.4,15.3,8.2,8.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,57.6,0.0,StatCan area #35180359,425
35180360,32.0,9.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,StatCan area #35180360,500
35180361,70.2,21.1,0.0,16.8,7.5,0.0,5.0,4.3,0.0,0.0,0.0,30.4,0.0,StatCan area #35180361,805
35180362,50.0,4.7,3.5,2.3,12.8,10.5,0.0,0.0,0.0,0.0,0.0,46.5,3.5,StatCan area #35180362,430
35180363,27.8,7.6,0.0,10.1,6.3,0.0,0.0,0.0,0.0,0.0,0.0,69.6,2.5,StatCan area #35180363,395
35180364,15.7,0.0,0.0,4.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,83.1,0.0,StatCan area #35180364,415
35180365,61.4,22.3,4.8,13.9,9.0,0.0,0.0,0.0,6.6,0.0,0.0,37.3,1.2,StatCan area #35180365,830
35180366,63.2,19.6,1.4,23.0,5.3,0.0,3.8,0.0,0.0,0.0,0.0,36.8,0.0,StatCan area #35180366,1045
35180367,66.7,33.3,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,StatCan area #35180367,270
35180368,79.3,18.7,1.6,33.3,8.1,0.0,5.3,0.0,0.0,0.0,0.0,21.1,0.0,StatCan area #35180368,1230
35180369,67.6,19.0,0.0,17.1,8.6,5.7,3.8,0.0,0.0,0.0,0.0,28.6,2.9,StatCan area #35180369,525
35180370,71.8,26.8,0.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,StatCan area #35180370,355
